ID_Pesanan,Tgl_Pembayaran,Tgl_Diserahkan_Kurir,Kurir,Nomor_Resi,Status_Pesanan
ORD-2507-001,16-10-2024,18-10-2024,Sicepat,RESI2812140441,Selesai
ORD-2507-002,06-04-2023,11-04-2023,Sicepat,RESI4733616459,Selesai
ORD-2507-003,2024/12/15,2024/12/30,JNE,RESI9776552803,Dalam Proses
ORD-2507-004,2024/07/03,2024/07/05,SiCepat,RESI5728765136,Dalam Proses
ORD-2507-005,09-04-2024,2024/04/19,Sicepat,RESI2051454923,Dalam Proses
ORD-2507-006,24-01-2024,31-01-2024,JNE,Menyusul,Dalam Proses
ORD-2507-007,15-02-2024,2024/02/22,JNE,RESI5908596099,Selesai
ORD-2507-008,2023/09/10,17-09-2023,,RESI4698408854,Selesai
ORD-2507-009,2024/10/04,2024/10/07,SiCepat,,Batal
ORD-2507-010,2023/04/28,2023/05/05,JNE,RESI4272602734,Batal
ORD-2507-011,19-04-2023,26-04-2023,SiCepat,RESI8760038701,Selesai
ORD-2507-012,01-03-2023,06-03-2023,Anteraja,RESI6004182187,Batal
ORD-2507-013,12-06-2025,27-06-2025,Sicepat,RESI2939118223,Selesai
ORD-2507-014,2023/08/19,,SiCepat,SC0019S87263,Batal
ORD-2507-015,08-10-2024,2024/10/09,JNE,RESI3030106617,Dalam Proses
ORD-2507-016,06-04-2025,2025/04/21,JNE Express,RESI1422701550,Dalam Proses
ORD-2507-017,15-01-2025,2025/01/25,JNE,RESI5618742930,Batal
ORD-2507-018,11-04-2023,12-04-2023,JNE,RESI1251837136,Dalam Proses
ORD-2507-019,2023/01/03,2023/01/18,JNE Express,RESI8380507338,Selesai
ORD-2507-020,14-07-2023,21-07-2023,Sicepat,RESI1676168421,Batal
ORD-2507-021,24-03-2023,27-03-2023,JNE Express,RESI9760623742,Selesai
ORD-2507-022,2024/03/05,15-03-2024,JNE,RESI5018948187,Selesai
ORD-2507-023,14-04-2024,16-04-2024,Anteraja,RESI5972484792,Batal
ORD-2507-024,21-12-2024,28-12-2024,Anteraja,RESI3376077463,Dalam Proses
ORD-2507-025,2023/10/16,2023/10/21,SiCepat,RESI8019198243,Dalam Proses
ORD-2507-026,2023/02/15,2023/02/16,JNE,RESI1480494664,Batal
ORD-2507-027,2023/06/02,03-06-2023,JNE,RESI2536778950,Batal
ORD-2507-028,2023/09/13,2023/09/15,Anteraja,RESI2770791023,Selesai
ORD-2507-029,2025/01/24,03-02-2025,JNE,RESI8982597239,Selesai
ORD-2507-030,2023/07/24,23-07-2023,JNE,RESI8616379926,Dalam Proses
ORD-2507-031,2024/10/18,2024/11/02,JNE,RESI7161404428,Batal
ORD-2507-032,2025/03/16,2025/03/26,Sicepat,RESI6141226746,Dalam Proses
ORD-2507-033,2023/03/13,2023/03/23,SiCepat,RESI3381183483,Selesai
ORD-2507-034,06-03-2024,21-03-2024,JNE Express,RESI6679017210,Dalam Proses
ORD-2507-035,2024/03/28,02-04-2024,SiCepat,RESI2333241445,Selesai
