ID_Pesanan,Tgl_Pembayaran,Tgl_Diserahkan_Kurir,Kurir,Nomor_Resi,Status_Pesanan
ORD-2507-335,22-03-2025,21-03-2025,JNE,RESI5970811968,Batal
ORD-2507-336,04-01-2025,06-01-2025,SiCepat,RESI8874242713,Selesai
ORD-2507-337,07-09-2023,08-09-2023,Sicepat,RESI3738568701,Batal
ORD-2507-338,15-01-2025,2025/01/22,Sicepat,RESI2136107759,Batal
ORD-2507-339,2024/12/03,2024/12/13,JNE Express,RESI1413599241,Dalam Proses
ORD-2507-340,21-09-2024,22-09-2024,Sicepat,RESI9776500600,Batal
ORD-2507-341,2024/03/15,20-03-2024,JNE Express,RESI5654961069,Batal
ORD-2507-342,2025/06/16,01-07-2025,SiCepat,SC0019S87263,Batal
ORD-2507-343,2023/07/30,2023/08/09,JNE,RESI6169824924,Batal
ORD-2507-344,13-03-2025,2025/03/12,,RESI6281827528,Batal
ORD-2507-345,15-06-2023,17-06-2023,JNE,SC0019S87263,Selesai
ORD-2507-346,2025/04/23,26-04-2025,JNE,RESI7418263314,Selesai
ORD-2507-347,26-07-2023,,SiCepat,RESI5449848690,Selesai
ORD-2507-348,01-11-2024,2024/11/02,JNE Express,RESI9977193987,Dalam Proses
ORD-2507-349,2025/01/13,23-01-2025,SiCepat,SC0019S87263,Selesai
ORD-2507-350,21-02-2024,23-02-2024,Sicepat,RESI7764117705,Batal
ORD-2507-351,2024/03/29,2024/04/13,SiCepat,RESI2107327477,Dalam Proses
ORD-2507-352,10-10-2024,2024/10/15,SiCepat,Menyusul,Dalam Proses
ORD-2507-353,12-09-2023,2023/09/19,JNE,RESI2155671697,Batal
ORD-2507-354,2024/11/30,05-12-2024,Sicepat,RESI7951820749,Selesai
ORD-2507-355,08-03-2025,2025/03/10,SiCepat,RESI7366396017,Batal
ORD-2507-356,2023/11/19,2023/11/18,JNE Express,RESI7112493808,Batal
ORD-2507-357,2023/02/03,2023/02/13,Anteraja,RESI9640701016,Selesai
ORD-2507-358,2024/01/24,26-01-2024,SiCepat,RESI2571632270,Dalam Proses
ORD-2507-359,2024/03/10,2024/03/15,JNE,RESI2635881694,Selesai
ORD-2507-360,2025/03/30,2025/04/02,JNE,RESI7384985150,Dalam Proses
ORD-2507-361,2024/07/29,30-07-2024,Sicepat,RESI6732306182,Dalam Proses
ORD-2507-362,2024/01/04,,JNE,RESI8646369354,Dalam Proses
ORD-2507-363,2023/11/29,2023/11/28,SiCepat,RESI9283130753,Dalam Proses
